keypoint_index,keypoint_name,uuid,color
258,l-top-end-of-superior-crus,16c784f8-b6bc-4892-8cc9-e9d3604a5300,"(200, 200, 0)"
259,l-start-of-antihelix,53c532e8-8155-4c4c-95d5-a802a53b21fa,"(200, 200, 0)"
260,l-end-of-antihelix,f4d508ed-b21d-423e-ade8-803f36c75d93,"(200, 200, 0)"
261,l-midpoint-1-of-antihelix,de98733b-3630-4585-9825-200dce4dab7c,"(200, 200, 0)"
262,l-midpoint-1-of-inferior-crus,7366f6b9-17f6-411f-a4cb-6096c28d9ea0,"(200, 200, 0)"
263,l-midpoint-2-of-antihelix,db717de7-098c-4ec8-9882-910de708eb17,"(200, 200, 0)"
264,l-midpoint-3-of-antihelix,447283af-dde0-4498-921b-19771ca88ef4,"(200, 200, 0)"
265,l-point-1-of-inner-helix,3cb3ce5a-c67e-43e6-bd59-f3090319e559,"(200, 200, 0)"
266,l-point-2-of-inner-helix,f4bd3a9f-b058-4a8f-b3a8-8569b1ccf026,"(200, 200, 0)"
267,l-point-3-of-inner-helix,baa0eb93-e784-4387-b27f-265913aca3c0,"(200, 200, 0)"
268,l-point-4-of-inner-helix,fcbb85ce-098b-4917-a496-75e91870d8f2,"(200, 200, 0)"
269,l-point-5-of-inner-helix,ef4df21f-f79c-4912-8b62-7fde4971543c,"(200, 200, 0)"
270,l-point-6-of-inner-helix,fe6933b6-317f-48e6-876f-fbba71a3e7e2,"(200, 200, 0)"
271,l-point-7-of-inner-helix,852be209-baa1-4e4e-93ef-d804579ebaf5,"(200, 200, 0)"
272,l-highest-point-of-antitragus,79c46f29-118d-400d-a647-437e40e2fac4,"(200, 200, 0)"
273,l-bottom-point-of-tragus,dba719f0-489d-4603-a3f9-ad8e2b125204,"(200, 200, 0)"
274,l-protruding-point-of-tragus,7cb01341-a1e5-4da0-9081-dfb06f9a3087,"(200, 200, 0)"
